normal,,,,abnormal,,,
sample1,sample2,sample3,sample4,sample1,sample2,sample3,sample4
-0.032258,-0.096774,0.096774,0.032258,-0.161290,-0.032258,-0.161290,-0.161290
-0.096774,0.096774,0.032258,0.032258,-0.032258,-0.161290,-0.161290,0.032258
0.096774,0.032258,0.032258,0.096774,-0.161290,-0.161290,0.032258,-0.032258
0.032258,0.032258,0.096774,-0.032258,-0.161290,0.032258,-0.032258,0.096774
0.032258,0.096774,-0.032258,0.096774,0.032258,-0.032258,0.096774,-0.096774
0.096774,-0.032258,0.096774,0.096774,-0.032258,0.096774,-0.096774,-0.161290
-0.032258,0.096774,0.096774,0.096774,0.096774,-0.096774,-0.161290,-0.161290
0.096774,0.096774,0.096774,0.096774,-0.096774,-0.161290,-0.161290,-0.161290
0.096774,0.096774,0.096774,-0.096774,-0.161290,-0.161290,-0.161290,-0.096774
0.096774,0.096774,-0.096774,0.032258,-0.161290,-0.161290,-0.096774,-0.096774
0.096774,-0.096774,0.032258,-0.032258,-0.161290,-0.096774,-0.096774,-0.032258
-0.096774,0.032258,-0.032258,-0.096774,-0.096774,-0.096774,-0.032258,-0.032258
0.032258,-0.032258,-0.096774,-0.096774,-0.096774,-0.032258,-0.032258,-0.032258
-0.032258,-0.096774,-0.096774,-0.161290,-0.032258,-0.032258,-0.032258,-0.096774
-0.096774,-0.096774,-0.161290,-0.096774,-0.032258,-0.032258,-0.096774,0.096774
-0.096774,-0.161290,-0.096774,-0.032258,-0.032258,-0.096774,0.096774,-0.032258
-0.161290,-0.096774,-0.032258,-0.161290,-0.096774,0.096774,-0.032258,0.032258
-0.096774,-0.032258,-0.161290,-0.032258,0.096774,-0.032258,0.032258,-0.032258
-0.032258,-0.161290,-0.032258,-0.032258,-0.032258,0.032258,-0.032258,-0.032258
-0.161290,-0.032258,-0.032258,-0.032258,0.032258,-0.032258,-0.032258,-0.096774
-0.032258,-0.032258,-0.032258,-0.096774,-0.032258,-0.032258,-0.096774,-0.032258
-0.032258,-0.032258,-0.096774,-0.096774,-0.032258,-0.096774,-0.032258,-0.032258
-0.032258,-0.096774,-0.096774,-0.225806,-0.096774,-0.032258,-0.032258,0.032258
-0.096774,-0.096774,-0.225806,-0.032258,-0.032258,-0.032258,0.032258,-0.032258
-0.096774,-0.225806,-0.032258,-0.096774,-0.032258,0.032258,-0.032258,-0.032258
-0.225806,-0.032258,-0.096774,-0.032258,0.032258,-0.032258,-0.032258,-0.161290
-0.032258,-0.096774,-0.032258,-0.032258,-0.032258,-0.032258,-0.161290,0.032258
-0.096774,-0.032258,-0.032258,-0.161290,-0.032258,-0.161290,0.032258,0.032258
-0.032258,-0.032258,-0.161290,-0.096774,-0.161290,0.032258,0.032258,0.032258
-0.032258,-0.161290,-0.096774,-0.161290,0.032258,0.032258,0.032258,0.032258
-0.161290,-0.096774,-0.161290,0.096774,0.032258,0.032258,0.032258,0.096774
-0.096774,-0.161290,0.096774,-0.161290,0.032258,0.032258,0.096774,0.096774
-0.161290,0.096774,-0.161290,-0.161290,0.032258,0.096774,0.096774,0.096774
0.096774,-0.161290,-0.161290,-0.161290,0.096774,0.096774,0.096774,0.032258
-0.161290,-0.161290,-0.161290,-0.096774,0.096774,0.096774,0.032258,0.096774
-0.161290,-0.161290,-0.096774,-0.032258,0.096774,0.032258,0.096774,0.032258
-0.161290,-0.096774,-0.032258,-0.032258,0.032258,0.096774,0.032258,0.032258
-0.096774,-0.032258,-0.032258,-0.032258,0.096774,0.032258,0.032258,0.096774
-0.032258,-0.032258,-0.032258,-0.096774,0.032258,0.032258,0.096774,0.161290
-0.032258,-0.032258,-0.096774,-0.161290,0.032258,0.096774,0.161290,0.290323
-0.032258,-0.096774,-0.161290,-0.032258,0.096774,0.161290,0.290323,0.032258
-0.096774,-0.161290,-0.032258,0.032258,0.161290,0.290323,0.032258,0.290323
-0.161290,-0.032258,0.032258,-0.032258,0.290323,0.032258,0.290323,0.290323
-0.032258,0.032258,-0.032258,-0.032258,0.032258,0.290323,0.290323,0.354839
0.032258,-0.032258,-0.032258,0.225806,0.290323,0.290323,0.354839,0.290323
-0.032258,-0.032258,0.225806,0.096774,0.290323,0.354839,0.290323,0.096774
-0.032258,0.225806,0.096774,0.225806,0.354839,0.290323,0.096774,0.161290
0.225806,0.096774,0.225806,0.225806,0.290323,0.096774,0.161290,0.096774
0.096774,0.225806,0.225806,0.225806,0.096774,0.161290,0.096774,0.096774
0.225806,0.225806,0.225806,0.161290,0.161290,0.096774,0.096774,-0.225806
0.225806,0.225806,0.161290,-0.096774,0.096774,0.096774,-0.225806,-0.290323
0.225806,0.161290,-0.096774,-0.096774,0.096774,-0.225806,-0.290323,-0.419355
0.161290,-0.096774,-0.096774,-0.225806,-0.225806,-0.290323,-0.419355,-0.354839
-0.096774,-0.096774,-0.225806,-0.354839,-0.290323,-0.419355,-0.354839,-0.548387
-0.096774,-0.225806,-0.354839,-0.354839,-0.419355,-0.354839,-0.548387,-0.548387
-0.225806,-0.354839,-0.354839,-0.483871,-0.354839,-0.548387,-0.548387,-0.677419
-0.354839,-0.354839,-0.483871,-0.419355,-0.548387,-0.548387,-0.677419,-0.741935
-0.354839,-0.483871,-0.419355,-0.290323,-0.548387,-0.677419,-0.741935,-0.677419
-0.483871,-0.419355,-0.290323,0.032258,-0.677419,-0.741935,-0.677419,-0.870968
-0.419355,-0.290323,0.032258,0.419355,-0.741935,-0.677419,-0.870968,-0.935484
-0.290323,0.032258,0.419355,0.741935,-0.677419,-0.870968,-0.935484,-0.806452
0.032258,0.419355,0.741935,0.935484,-0.870968,-0.935484,-0.806452,-1.000000
0.419355,0.741935,0.935484,0.806452,-0.935484,-0.806452,-1.000000,-0.935484
0.741935,0.935484,0.806452,0.548387,-0.806452,-1.000000,-0.935484,-0.935484
0.935484,0.806452,0.548387,-0.096774,-1.000000,-0.935484,-0.935484,-0.935484
0.806452,0.548387,-0.096774,-0.677419,-0.935484,-0.935484,-0.935484,-0.741935
0.548387,-0.096774,-0.677419,-1.000000,-0.935484,-0.935484,-0.741935,-0.677419
-0.096774,-0.677419,-1.000000,-0.935484,-0.935484,-0.741935,-0.677419,-0.483871
-0.677419,-1.000000,-0.935484,-0.806452,-0.741935,-0.677419,-0.483871,-0.677419
-1.000000,-0.935484,-0.806452,-0.548387,-0.677419,-0.483871,-0.677419,-0.612903
-0.935484,-0.806452,-0.548387,-0.225806,-0.483871,-0.677419,-0.612903,-0.548387
-0.806452,-0.548387,-0.225806,-0.096774,-0.677419,-0.612903,-0.548387,-0.483871
-0.548387,-0.225806,-0.096774,-0.096774,-0.612903,-0.548387,-0.483871,-0.548387
-0.225806,-0.096774,-0.096774,-0.096774,-0.548387,-0.483871,-0.548387,-0.290323
-0.096774,-0.096774,-0.096774,-0.161290,-0.483871,-0.548387,-0.290323,-0.225806
-0.096774,-0.096774,-0.161290,-0.032258,-0.548387,-0.290323,-0.225806,-0.290323
-0.096774,-0.161290,-0.032258,0.032258,-0.290323,-0.225806,-0.290323,-0.225806
-0.161290,-0.032258,0.032258,-0.096774,-0.225806,-0.290323,-0.225806,-0.096774
-0.032258,0.032258,-0.096774,-0.032258,-0.290323,-0.225806,-0.096774,-0.096774
0.032258,-0.096774,-0.032258,-0.032258,-0.225806,-0.096774,-0.096774,-0.096774
-0.096774,-0.032258,-0.032258,-0.032258,-0.096774,-0.096774,-0.096774,-0.161290
-0.032258,-0.032258,-0.032258,-0.032258,-0.096774,-0.096774,-0.161290,-0.096774
-0.032258,-0.032258,-0.032258,-0.096774,-0.096774,-0.161290,-0.096774,-0.032258
-0.032258,-0.032258,-0.096774,-0.096774,-0.161290,-0.096774,-0.032258,-0.096774
-0.032258,-0.096774,-0.096774,-0.032258,-0.096774,-0.032258,-0.096774,0.032258
-0.096774,-0.096774,-0.032258,-0.096774,-0.032258,-0.096774,0.032258,0.225806
-0.096774,-0.032258,-0.096774,-0.161290,-0.096774,0.032258,0.225806,0.032258
-0.032258,-0.096774,-0.161290,-0.032258,0.032258,0.225806,0.032258,0.032258
-0.096774,-0.161290,-0.032258,-0.032258,0.225806,0.032258,0.032258,0.096774
-0.161290,-0.032258,-0.032258,0.032258,0.032258,0.032258,0.096774,0.032258
-0.032258,-0.032258,0.032258,-0.096774,0.032258,0.096774,0.032258,0.032258
-0.032258,0.032258,-0.096774,0.032258,0.096774,0.032258,0.032258,0.161290
0.032258,-0.096774,0.032258,-0.096774,0.032258,0.032258,0.161290,0.096774
-0.096774,0.032258,-0.096774,-0.032258,0.032258,0.161290,0.096774,-0.032258
0.032258,-0.096774,-0.032258,-0.032258,0.161290,0.096774,-0.032258,0.096774
-0.096774,-0.032258,-0.032258,-0.096774,0.096774,-0.032258,0.096774,0.161290
-0.032258,-0.032258,-0.096774,0.096774,-0.032258,0.096774,0.161290,0.161290
-0.032258,-0.096774,0.096774,-0.096774,0.096774,0.161290,0.161290,0.161290
-0.096774,0.096774,-0.096774,0.032258,0.161290,0.161290,0.161290,0.225806
0.096774,-0.096774,0.032258,-0.096774,0.161290,0.161290,0.225806,0.225806
-0.096774,0.032258,-0.096774,-0.096774,0.161290,0.225806,0.225806,0.096774
0.032258,-0.096774,-0.096774,0.032258,0.225806,0.225806,0.096774,0.161290
-0.096774,-0.096774,0.032258,0.096774,0.225806,0.096774,0.161290,0.096774
-0.096774,0.032258,0.096774,-0.096774,0.096774,0.161290,0.096774,0.225806
0.032258,0.096774,-0.096774,-0.032258,0.161290,0.096774,0.225806,0.225806
0.096774,-0.096774,-0.032258,-0.096774,0.096774,0.225806,0.225806,0.161290
-0.096774,-0.032258,-0.096774,-0.096774,0.225806,0.225806,0.161290,0.225806
-0.032258,-0.096774,-0.096774,0.032258,0.225806,0.161290,0.225806,0.225806
-0.096774,-0.096774,0.032258,0.096774,0.161290,0.225806,0.225806,0.290323
-0.096774,0.032258,0.096774,0.032258,0.225806,0.225806,0.290323,0.096774
0.032258,0.096774,0.032258,0.032258,0.225806,0.290323,0.096774,0.161290
0.096774,0.032258,0.032258,-0.096774,0.290323,0.096774,0.161290,0.225806
0.032258,0.032258,-0.096774,0.032258,0.096774,0.161290,0.225806,0.161290
0.032258,-0.096774,0.032258,-0.032258,0.161290,0.225806,0.161290,0.161290
-0.096774,0.032258,-0.032258,-0.032258,0.225806,0.161290,0.161290,0.161290
0.032258,-0.032258,-0.032258,0.032258,0.161290,0.161290,0.161290,0.096774
-0.032258,-0.032258,0.032258,-0.032258,0.161290,0.161290,0.096774,0.161290
